| table_name                       | column_name               | data_type                | is_nullable | column_default                                                                             | character_maximum_length |
| -------------------------------- | ------------------------- | ------------------------ | ----------- | ------------------------------------------------------------------------------------------ | ------------------------ |
| saas_activity_log                | id                        | bigint                   | NO          | null                                                                                       | null                     |
| saas_activity_log                | client_id                 | uuid                     | NO          | null                                                                                       | null                     |
| saas_activity_log                | action                    | text                     | NO          | null                                                                                       | null                     |
| saas_activity_log                | details                   | jsonb                    | YES         | '{}'::jsonb                                                                                | null                     |
| saas_activity_log                | source                    | text                     | YES         | 'portal'::text                                                                             | null                     |
| saas_activity_log                | ip_address                | inet                     | YES         | null                                                                                       | null                     |
| saas_activity_log                | user_agent                | text                     | YES         | null                                                                                       | null                     |
| saas_activity_log                | created_at                | timestamp with time zone | YES         | now()                                                                                      | null                     |
| saas_appointments                | id                        | bigint                   | NO          | nextval('saas_appointments_id_seq'::regclass)                                              | null                     |
| saas_appointments                | client_id                 | uuid                     | NO          | null                                                                                       | null                     |
| saas_appointments                | title                     | text                     | NO          | null                                                                                       | null                     |
| saas_appointments                | description               | text                     | YES         | null                                                                                       | null                     |
| saas_appointments                | location                  | text                     | YES         | null                                                                                       | null                     |
| saas_appointments                | start_at                  | timestamp with time zone | NO          | null                                                                                       | null                     |
| saas_appointments                | end_at                    | timestamp with time zone | NO          | null                                                                                       | null                     |
| saas_appointments                | all_day                   | boolean                  | YES         | false                                                                                      | null                     |
| saas_appointments                | notify_before             | integer                  | YES         | 30                                                                                         | null                     |
| saas_appointments                | priority                  | text                     | YES         | 'media'::text                                                                              | null                     |
| saas_appointments                | status                    | text                     | YES         | 'scheduled'::text                                                                          | null                     |
| saas_appointments                | color                     | text                     | YES         | '#3B82F6'::text                                                                            | null                     |
| saas_appointments                | created_at                | timestamp with time zone | YES         | now()                                                                                      | null                     |
| saas_appointments                | updated_at                | timestamp with time zone | YES         | now()                                                                                      | null                     |
| saas_appointments                | completed_at              | timestamp with time zone | YES         | null                                                                                       | null                     |
| saas_appointments                | cancelled_at              | timestamp with time zone | YES         | null                                                                                       | null                     |
| saas_appointments                | notified_at               | timestamp with time zone | YES         | null                                                                                       | null                     |
| saas_chat_messages               | id                        | bigint                   | NO          | null                                                                                       | null                     |
| saas_chat_messages               | client_id                 | uuid                     | NO          | null                                                                                       | null                     |
| saas_chat_messages               | role                      | text                     | NO          | null                                                                                       | null                     |
| saas_chat_messages               | content                   | text                     | NO          | null                                                                                       | null                     |
| saas_chat_messages               | message_type              | text                     | YES         | 'text'::text                                                                               | null                     |
| saas_chat_messages               | created_at                | timestamp with time zone | YES         | now()                                                                                      | null                     |
| saas_client_category_preferences | id                        | integer                  | NO          | nextval('saas_client_category_preferences_id_seq'::regclass)                               | null                     |
| saas_client_category_preferences | client_id                 | uuid                     | NO          | null                                                                                       | null                     |
| saas_client_category_preferences | descricao_original        | text                     | NO          | null                                                                                       | null                     |
| saas_client_category_preferences | categoria_escolhida       | text                     | NO          | null                                                                                       | null                     |
| saas_client_category_preferences | tipo                      | text                     | NO          | null                                                                                       | null                     |
| saas_client_category_preferences | frequencia                | integer                  | YES         | 1                                                                                          | null                     |
| saas_client_category_preferences | ultima_vez                | timestamp with time zone | YES         | now()                                                                                      | null                     |
| saas_client_notes                | id                        | uuid                     | NO          | gen_random_uuid()                                                                          | null                     |
| saas_client_notes                | client_id                 | uuid                     | NO          | null                                                                                       | null                     |
| saas_client_notes                | title                     | text                     | NO          | 'Sem título'::text                                                                         | null                     |
| saas_client_notes                | content                   | text                     | YES         | null                                                                                       | null                     |
| saas_client_notes                | color                     | text                     | YES         | '#FFFFFF'::text                                                                            | null                     |
| saas_client_notes                | tags                      | ARRAY                    | YES         | '{}'::text[]                                                                               | null                     |
| saas_client_notes                | is_pinned                 | boolean                  | YES         | false                                                                                      | null                     |
| saas_client_notes                | is_archived               | boolean                  | YES         | false                                                                                      | null                     |
| saas_client_notes                | created_at                | timestamp with time zone | YES         | now()                                                                                      | null                     |
| saas_client_notes                | updated_at                | timestamp with time zone | YES         | now()                                                                                      | null                     |
| saas_client_preferences          | id                        | uuid                     | NO          | gen_random_uuid()                                                                          | null                     |
| saas_client_preferences          | client_id                 | uuid                     | NO          | null                                                                                       | null                     |
| saas_client_preferences          | theme                     | text                     | YES         | 'light'::text                                                                              | null                     |
| saas_client_preferences          | language                  | text                     | YES         | 'pt-BR'::text                                                                              | null                     |
| saas_client_preferences          | notifications_email       | boolean                  | YES         | true                                                                                       | null                     |
| saas_client_preferences          | notifications_push        | boolean                  | YES         | true                                                                                       | null                     |
| saas_client_preferences          | notifications_whatsapp    | boolean                  | YES         | true                                                                                       | null                     |
| saas_client_preferences          | morning_summary_enabled   | boolean                  | YES         | true                                                                                       | null                     |
| saas_client_preferences          | morning_summary_time      | time without time zone   | YES         | '07:00:00'::time without time zone                                                         | null                     |
